Code,Name,Date,Price,Share,Amount,Warran,Underwriter,Sector,Subsector,Field,Website,Prospectus,Summary_Prospectus,Alamat,Image,Papan Pencatatan
MHKI,PT Multi Hanna Kreasindo Tbk,16 Apr 2024,Rp160,20%,"7,500,000 lot",0,XA - NH KORINDO SEKURITAS INDONESIA,Perindustrian,Jasa Perindustrian,Pengelolaan (treatment) Limbah Bahan Berbahaya dan Beracun (B3) dan Non B3 serta Perdagangan Besar,https://www.multihanna.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/MHKI/prospectus/9uc2zipj3z.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MHKI/summary-prospectus/6t9spvwjk4.pdf,"Jl. Raya Narogong Km 12, Pangkalan II No. 23, Cikiwul Kec. Bantar Gebang, Kota Bekasi, Jawa Barat 17152 Telepon: +62 21 8250196 Fax: +62 21 82601939",https://storage.googleapis.com/assets.trading.stockbit.com/company/MHKI/logo/m26c5k9d20.png,Pengembangan
ATLA,PT Atlantis Subsea Indonesia Tbk,16 Apr 2024,Rp100,19.36%,"12,000,000 lot",20 : 29,SH - ARTHA SEKURITAS INDONESIA,Energi,"Minyak, Gas, & Batu Bara",Bergerak dalam Bidang Survei dan Layanan untuk Perusahaan Energi,https://www.atlantissubsea.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/ATLA/prospectus/objmzfbzgt.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ATLA/summary-prospectus/jg7xlpe30e.pdf,"Jl.Tebet Barat Dalam Raya No.6, Jakarta Selatan 12810, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/ATLA/logo/mnofarmqib.png,Pengembangan
AREA,PT Dunia Virtual Online Tbk,01 Apr 2024,Rp131,20.08%,"5,100,000 lot",0,GR - PANIN SEKURITAS TBK.,Teknologi,Perangkat Lunak & Jasa TI,Jasa penyewaan colocation dan aktivitas terkait lainnya,https://www.area31.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/AREA/prospectus/k91nipibe8.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/AREA/summary-prospectus/g43aerp6m0.pdf,"Jl. Raya Tapos No.31 Cimpaeun, Kec. Tapos, Kota Depok Jawa Barat 16459",https://storage.googleapis.com/assets.trading.stockbit.com/company/AREA/logo/5s0d84ve0y.png,Pengembangan
VISI,PT Satu Visi Putra Tbk,27 Feb 2024,Rp120,20%,"6,150,000 lot",0,SF - SURYA FAJAR SEKURITAS,Perindustrian,Barang Perindustrian,"Perdagangan Besar untuk Bahan Advertising dan Printing seperti Banner, Display, Tinta dan PVC Board",https://satuvisiputra.com/id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/VISI/prospectus/0aoygktsix.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/VISI/summary-prospectus/ga83h5tij0.pdf,"Jl. Greges Jaya II Blok B19 Kec. Asemrowo, Kel. Tambak Sarioso Kota Surabaya, Jawa Timur 60184",https://storage.googleapis.com/assets.trading.stockbit.com/company/VISI/logo/lnga8pgyi8.png,Pengembangan
LIVE,PT Homeco Victoria Makmur Tbk,12 Feb 2024,Rp148,17.6%,"8,083,500 lot",0,IF - SAMUEL SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Barang Rumah Tangga,Perdagangan Besar Peralatan dan Perlengkapan Rumah Tangga,http://www.homeco.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/LIVE/prospectus/h1g3iphjxu.01,https://storage.googleapis.com/assets.trading.stockbit.com/company/LIVE/summary-prospectus/rasqsxfq9g.pdf,"Jl. Kebon Jeruk Raya No. 1A-C, Kel. Kebon Jeruk Kec. Kebon Jeruk, Kota Adm. Jakarta Barat Provinsi DKI Jakarta, 11530, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/LIVE/logo/g7tdngd42e.png,Pengembangan
BAIK,PT Bersama Mencapai Puncak Tbk,15 Feb 2024,Rp278,20%,"2,250,000 lot",1 : 1,EP - MNC SEKURITAS,Barang Konsumen Non-Primer,Jasa Konsumen,"Mengelola rumah makan, kemitraan rumah makan, serta perdagangan bahan baku",https://ptbersamamencapaipuncak.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/BAIK/prospectus/sg2x80kfwa.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BAIK/summary-prospectus/hz16x4cw5m.pdf,"Jl. Raya Regency Kav. 9 No. 5, Kabupaten Malang, Jawa Timur, 65153.",https://storage.googleapis.com/assets.trading.stockbit.com/company/BAIK/logo/9dmewap2rn.png,Pengembangan
HYGN,PT Ecocare Indo Pasifik Tbk,13 Feb 2024,Rp145,20.79%,"5,250,000 lot",0,HD - KGI SEKURITAS INDONESIA,Perindustrian,Jasa Perindustrian,Jasa Pengelolaan dan Penyewaan alat-alat Higienitas dan Sanitasi Ruangan beserta produk pendukungnya,https://www.ecocare.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/HYGN/prospectus/d8r9uh21mj.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/HYGN/summary-prospectus/boe0yfwakj.pdf,"Gedung Infinia Park, Jl. Dr. Saharjo No. 45 Blok A No. 55, Manggarai, Tebet, Jakarta Selatan 12850",https://storage.googleapis.com/assets.trading.stockbit.com/company/HYGN/logo/6h4hj93xry.png,Pengembangan
MKAP,PT Multikarya Asia Pasifik Raya Tbk,12 Feb 2024,Rp115,20%,"6,500,000 lot",0,YJ - LOTUS ANDALAN SEKURITAS,Energi,"Minyak, Gas, & Batu Bara","Manufaktur, Jasa Perdagangan, Penyewaan, Perbaikan, Suku Cadang Pompa Industri Migas & Pertambangan",https://www.mkapr.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/MKAP/prospectus/rrxbje4jrf.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MKAP/summary-prospectus/th23vka36m.pdf,"Cibis Nine lt 16, JL TB Simatupang No 02, Jakarta Selatan, 12560, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/MKAP/logo/6jyz188f18.png,Pengembangan
MEJA,PT Harta Djaya Karya Tbk.,12 Feb 2024,Rp103,25.03%,"4,800,000 lot",1 : 1,EP - MNC SEKURITAS,Barang Konsumen Non-Primer,Barang Rumah Tangga,"Konsultansi Desain, Pelaksana Konstruksi Interior, Pabrikasi Furnitur",https://interra.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/MEJA/prospectus/ntiewp2z6o.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MEJA/summary-prospectus/jsafwwcjge.pdf,"Jl. Bintaro Raya No.8A, Kby. Lama Selatan, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta. Kode Pos: 12240",https://storage.googleapis.com/assets.trading.stockbit.com/company/MEJA/logo/hv4l1cpbhh.png,Akselerasi
ALII,PT Ancara Logistics Indonesia Tbk,07 Feb 2024,Rp272,20%,"31,651,600 lot",0,KI - CIPTADANA SEKURITAS ASIA,Energi,"Minyak, Gas, & Batu Bara","Jasa Pengangkutan Laut dan Transshipment, serta Intermediate Stockpile melalui Perusahaan Anak",https://www.ancaralogistics.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/ALII/prospectus/heifdjnni2.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ALII/summary-prospectus/t04egngsmf.pdf,"Bakrie Tower Lantai 15, Komplek Rasuna Epicentrum, Jalan H.R. Rasuna Said, Kelurahan Karet Kuningan, Kecamatan Setiabudi, Kota Administrasi Jakarta Selatan, 12940",https://storage.googleapis.com/assets.trading.stockbit.com/company/ALII/logo/yeusg6xm95.png,Utama
MPIX,PT Mitra Pedagang Indonesia Tbk,07 Feb 2024,Rp268,20%,"3,125,000 lot",2 : 1,DR - RHB SEKURITAS INDONESIA,Teknologi,Perangkat Lunak & Jasa TI,"Penyedia Platform Digital untuk UMKM, dan E-Commerce.",https://www.mpstore.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/MPIX/prospectus/wzwwait1vd.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MPIX/summary-prospectus/l2dxr895bd.pdf,"Ruko Khayangan Residence Blok RA-11, Lantai 2, Jalan Halim Perdana Kusuma, Bangkalan 69119, Jawa Timur",https://storage.googleapis.com/assets.trading.stockbit.com/company/MPIX/logo/rljtr00azn.png,Pengembangan
TOSK,PT Topindo Solusi Komunika Tbk,07 Feb 2024,Rp125,20%,"8,750,000 lot",10 : 3,EP - MNC SEKURITAS,Teknologi,Perangkat Lunak & Jasa TI,Platform Teknologi untuk Tujuan Komersil,https://topindoku.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/TOSK/prospectus/17z5iqitaw.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/TOSK/summary-prospectus/28p9puyi8l.pdf,"Jalan P. Diponegoro No. 19, Kel. Pasiran, Kec Singkawang Barat, Kota Singkawang, Prov Kalimantan Barat 79123",https://storage.googleapis.com/assets.trading.stockbit.com/company/TOSK/logo/zk8q0co7or.png,Pengembangan
UNTD,PT Terang Dunia Internusa Tbk.,07 Feb 2024,Rp240,25%,"16,666,667 lot",0,YP - MIRAE ASSET SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Barang Rekreasi,Bergerak di Industri Sepeda dan Industri Sepeda Motor Roda Dua dan Tiga.,https://www.TerangDuniaInternusa.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/UNTD/prospectus/lylpd20puw.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/UNTD/summary-prospectus/e9ju2484jn.pdf,"Jl. Alam Sutera Boulevard No. kav. 12A, Pakulonan, Kec. Serpong utara, Kota Tangerang Selatan, Banten 15325",https://storage.googleapis.com/assets.trading.stockbit.com/company/UNTD/logo/0gghgg0iaq.png,Pengembangan
SMGA,PT Sumber Mineral Global Abadi Tbk,30 Jan 2024,Rp105,20%,"17,500,000 lot",0,MI - VICTORIA SEKURITAS INDONESIA,Barang Baku,Barang Baku,Bergerak dalam bidang Perdagangan Besar Bijih Nikel dan Batubara,https://www.smgagroup.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/SMGA/prospectus/5rh52nsqte.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SMGA/summary-prospectus/5pj4r94fet.pdf,"Graha BIP Lantai 2, Jl. Gatot Subroto Kav. 23, Jakarta Selatan 12930, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/SMGA/logo/7jhcm4fw05.png,Pengembangan
GRPH,PT Griptha Putra Persada Tbk,18 Jan 2024,Rp103,20%,"2,000,000 lot",0,SA - ELIT SUKSES SEKURITAS,Barang Konsumen Non-Primer,Jasa Konsumen,"Bergerak di Bidang Hotel Bintang, Restoran, dan MICE.",https://www.griptha.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/GRPH/prospectus/6j5ubuoy8f.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/GRPH/summary-prospectus/p0rsm48lsf.pdf,"Jl. AKBP R. Agil Kusumadya No. 100, Jati Wetan, Kecamatan Jati, Kabupaten Kudus, Jawa Tengah 59346, Indonesia.",https://storage.googleapis.com/assets.trading.stockbit.com/company/GRPH/logo/a9do82aq1e.png,Pengembangan
MSJA,PT Multi Spunindo Jaya Tbk,10 Jan 2024,Rp300,15%,"8,823,529 lot",0,OD - BRI DANAREKSA SEKURITAS,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Industri Nonwoven,https://www.spunindo.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/MSJA/prospectus/ges551gyy4.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MSJA/summary-prospectus/bqhgzziirs.pdf,"Desa Jabaran, Kecamatan Balongbendo, Krian, Sidoarjo, Jawa Timur, Indonesia 61263",https://storage.googleapis.com/assets.trading.stockbit.com/company/MSJA/logo/im9gzfks82.png,Utama
NICE,PT Adhi Kartiko Pratama Tbk.,09 Jan 2024,Rp438,20%,"12,164,040 lot",0,AI - UOB KAY HIAN SEKURITAS,Barang Baku,Barang Baku,Bergerak dalam Pertambangan Bijih Nikel,https://www.akp.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/NICE/prospectus/b2wft6e483.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/NICE/summary-prospectus/keegvfsl6a.pdf,"Jalan Sorumba Nomor 80, Desa/Kelurahan Anaiwoi, Kec. Kadia, Kota Kendari, Provinsi Sulawesi Tenggara Indonesia - 93118",https://storage.googleapis.com/assets.trading.stockbit.com/company/NICE/logo/s9meff4t4m.png,Pengembangan
ACRO,PT Samcro Hyosung Adilestari Tbk,11 Jan 2024,Rp108,20%,"6,938,280 lot",3 : 1,AI - UOB KAY HIAN SEKURITAS,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Bergerak dalam industri dan perdagangan Hook dan Loop,https://www.samcro.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/ACRO/prospectus/n3yz1jm362.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ACRO/summary-prospectus/6x7bazmjbr.pdf,"Jl. Raya Serang KM 17,2 Desa Bojong Kecamatan Cikupa, Kabupaten Tangerang Banten, 15710",https://storage.googleapis.com/assets.trading.stockbit.com/company/ACRO/logo/9hobd2xaey.png,Pengembangan
SMLE,PT Sinergi Multi Lestarindo Tbk,10 Jan 2024,Rp175,20%,"4,656,250 lot",2 : 1,EP - MNC SEKURITAS,Barang Baku,Barang Baku,"Perdagangan Bahan Kimia Khusus untuk Bahan Baku Makanan & Minuman, Perawatan Diri dan Kimia Industri",https://www.ptsml.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/SMLE/prospectus/iof7qr0ash.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SMLE/summary-prospectus/v4pu3xwuc4.pdf,"Business Park Kebon Jeruk Blok I 5-6, Jl. Raya Meruya Illir, Kav.88, Meruya Utara, Kembangan, Jakarta Barat 11620",https://storage.googleapis.com/assets.trading.stockbit.com/company/SMLE/logo/clfktxoem8.png,Pengembangan
CGAS,PT Citra Nusantara Gemilang Tbk,08 Jan 2024,Rp338,30%,"5,314,290 lot",2 : 1,PO - PILARMAS INVESTINDO SEKURITAS,Energi,"Minyak, Gas, & Batu Bara",Perdagangan dan Distribusi Gas Alam,https://cng.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/CGAS/prospectus/uryjk8lycj.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/CGAS/summary-prospectus/jjssgmttmh.pdf,"Jl. Kalimalang No.126, Tegal Gede, Kelurahan Pasirsari, Kecamatan Cikarang Selatan, Kabupaten Bekasi, Provinsi Jawa Barat 17530 Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/CGAS/logo/jodmxh19ks.png,Pengembangan
MANG,PT Manggung Polahraya Tbk,11 Jan 2024,Rp100,20%,"7,625,000 lot",10 : 3,PG - PANCA GLOBAL SEKURITAS,Infrastruktur,Konstruksi Bangunan,"Jasa Konstruksi Gedung, Pembangunan Infrastruktur Jalan, Produksi Aspal Hot Mix & Beton Ready Mix",https://www.manggungpolahraya.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/MANG/prospectus/3lrl5jg063.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MANG/summary-prospectus/g44bcid0uj.pdf,"Jl. Pondok Pinang Raya No.1, Kebayoran Lama, Jakarta Selatan, DKI Jakarta 12310",https://storage.googleapis.com/assets.trading.stockbit.com/company/MANG/logo/6ezyobf5tq.png,Akselerasi
ASLI,PT Asri Karya Lestari Tbk,05 Jan 2024,Rp100,20%,"12,500,000 lot",0,XA - NH KORINDO SEKURITAS INDONESIA,Infrastruktur,Konstruksi Bangunan,"Perseroan bergerak dalam bidang General Contractor khususnya pekerjaan pondasi, erection, bekisting",https://www.asrikaryalestari.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/ASLI/prospectus/xoqvlu8bt0.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ASLI/summary-prospectus/bjjuixvbot.pdf,"Ruko Sentra Niaga Kalimalang B2 No3 Jl. Jend. Ahmad Yani, Bekasi, Jawa Barat 17144",https://storage.googleapis.com/assets.trading.stockbit.com/company/ASLI/logo/9v6s7vwfbl.png,Pengembangan
SURI,PT Maja Agung Latexindo Tbk,07 Dec 2023,Rp170,20%,"12,668,750 lot",0,AH - SHINHAN SEKURITAS INDONESIA,Kesehatan,Jasa & Peralatan Kesehatan,Bergerak Dalam Bidang Produsen Sarung Tangan Latex,https://www.malgloves.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/SURI/prospectus/ejvkefkkxy.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SURI/summary-prospectus/g860zzfg44.pdf,"Jalan Utama No 98 Desa Pujimulyo, Kecamatan Sunggal, Kabupaten Deli Serdang, Sumatera Utara 20352",https://storage.googleapis.com/assets.trading.stockbit.com/company/SURI/logo/xxiik4sigd.png,Pengembangan
AYAM,PT Janu Putra Sejahtera Tbk,30 Nov 2023,Rp100,20%,"8,000,000 lot",0,AI - UOB KAY HIAN SEKURITAS,Barang Konsumen Primer,Makanan & Minuman,Bergerak dalam bidang usaha Peternakan dan Rumah Potong Ayam,https://januputrasejahtera.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/AYAM/prospectus/aavaaes1l8.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/AYAM/summary-prospectus/n0wu56mhk6.pdf,"Ruko Casa Grande No.35, Jl. Ringroad Utara, Maguwoharjo, Depok, Sleman, D.I Yogyakarta",https://storage.googleapis.com/assets.trading.stockbit.com/company/AYAM/logo/63c09s3593.png,Pengembangan
MSTI,PT Mastersystem Infotama Tbk,08 Nov 2023,Rp1355,15%,"4,708,236 lot",0,PD - INDO PREMIER SEKURITAS,Teknologi,Perangkat Lunak & Jasa TI,"Solusi, integrasi dan pemeliharaan sistem teknologi informasi",https://www.mastersystem.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/MSTI/prospectus/c80f84vih5.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MSTI/summary-prospectus/zxdhum35nr.pdf,Gedung Sudirman 7-8 Tower I Lt.25 Jl. Jend. Sudirman Kav. 7-8 Jakarta Pusat 10220,https://storage.googleapis.com/assets.trading.stockbit.com/company/MSTI/logo/cjdl99msjz.png,Utama
IKPM,PT Ikapharmindo Putramas Tbk,08 Nov 2023,Rp165,20%,"3,369,325 lot",0,TP - OCBC SEKURITAS INDONESIA,Kesehatan,Farmasi & Riset Kesehatan,"Bergerak Dalam Bidang Usaha Industri Farmasi, Personal Care",https://www.ikapharmindo.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/IKPM/prospectus/xhvzz30bd7.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/IKPM/summary-prospectus/rm9gzs1ndg.pdf,"Kl. Pulogadung Raya No.29 Kawasan Industri Pulogadung Jakarta Timur, 13930 Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/IKPM/logo/7rmh93idl5.png,Pengembangan
RGAS,PT Kian Santang Muliatama Tbk,08 Nov 2023,Rp120,22.9%,"3,342,000 lot",5 : 3,AO - ERDIKHA ELIT SEKURITAS,Energi,"Minyak, Gas, & Batu Bara","Perdagangan Besar Mesin Peralatan dan Perlengkapan Lainnya, Instalasi Mekanikal, Instalasi Gas",https://kianmulia.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/RGAS/prospectus/3y8przfc47.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/RGAS/summary-prospectus/sln2aly5jq.pdf,"Jl. Wibawa Mukti II Perum Telkom Satwika Permai Blok A5 No. 8, RT. 009 RW. 009 Kel. Jatiluhur, Kec. Jatiasih, Bekasi, 17425",https://storage.googleapis.com/assets.trading.stockbit.com/company/RGAS/logo/za0kt0v5t6.png,Pengembangan
UDNG,PT Agro Bahari Nusantara Tbk,31 Oct 2023,Rp100,28.57%,"5,000,000 lot",5 : 4,EP - MNC SEKURITAS,Barang Konsumen Primer,Makanan & Minuman,Bergerak di bidang Budidaya Tambak Udang,https://abn.farm/,https://storage.googleapis.com/assets.trading.stockbit.com/company/UDNG/prospectus/916g47atjh.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/UDNG/summary-prospectus/bn9bvx2px7.pdf,"Ruko Shibuya Unit SHC 012 – PIK 2 Jl. Marina Indah Raya No.1 Kel. Lemo, Kec. Teluknaga Tangerang – Banten 15510",https://storage.googleapis.com/assets.trading.stockbit.com/company/UDNG/logo/0u0tmbxtdt.png,Akselerasi
LOPI,PT Logisticsplus International Tbk,11 Oct 2023,Rp100,27.27%,"3,000,000 lot",2 : 1,SA - ELIT SUKSES SEKURITAS,Transportasi & Logistik,Logistik & Pengantaran,Bergerak di Bidang Jasa Pengurusan Transportasi (Freight Forwarding),https://www.logisticsplus.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/LOPI/prospectus/gt5i4u8mw6.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/LOPI/summary-prospectus/i0x9d4fbjq.pdf,"SAV Building Jl. Kavling Polri No. 20 Jagakarsa, Jakarta Selatan 12620, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/LOPI/logo/mo9xka1qg2.png,Akselerasi
PTPS,PT PULAU SUBUR TBK,09 Oct 2023,Rp198,20.76%,"4,500,000 lot",2 : 1,XA - NH KORINDO SEKURITAS INDONESIA,Perindustrian,Jasa Perindustrian,Perseroan bergerak dalam bidang Perkebunan Buah Kelapa Sawit,https://www.pulausubur.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/PTPS/prospectus/tbkryxthd1.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/PTPS/summary-prospectus/hln5h6x7u8.pdf,"Jl A. Yani No.12 ABC, RT23 RW023 14 Ulu, Seberang Ulu Dua, Palembang",https://storage.googleapis.com/assets.trading.stockbit.com/company/PTPS/logo/hk6p30dpuz.png,Pengembangan
KOKA,PT Koka Indonesia Tbk,11 Oct 2023,Rp128,25%,"7,153,330 lot",0,AI - UOB KAY HIAN SEKURITAS,Infrastruktur,Konstruksi Bangunan,"Jasa Konstruksi Gedung Industri, Bangunan Sipil dan Gedung Hunian",https://koka.co.id/en/beranda-en/,https://storage.googleapis.com/assets.trading.stockbit.com/company/KOKA/prospectus/bzo4vy9fzb.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/KOKA/summary-prospectus/6ee2vhohmi.pdf,"Jl. Sultan Iskandar Muda, No. 7, Lt. 3, Kebayoran Lama, Jakarta Selatan 12240",https://storage.googleapis.com/assets.trading.stockbit.com/company/KOKA/logo/x7ztjeys14.png,Pengembangan
BREN,PT Barito Renewables Energy Tbk,09 Oct 2023,Rp780,3.35%,"45,000,000 lot",0,NI - BNI SEKURITAS,Infrastruktur,Infrastruktur Transportasi,Aktvitas perusahaan holding,https://www.baritorenewables.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/BREN/prospectus/2sd6mrj6cp.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BREN/summary-prospectus/kuv2ee2ckd.pdf,"Wisma Barito Pacific II, Lantai 23, Jl. Let. Jend. S. Parman Kav. 60, RT 010, RW 005, Slipi, Palmerah, Jakarta 11410, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/BREN/logo/rpanp3ew31.png,Utama
IOTF,PT Sumber Sinergi Makmur Tbk,06 Oct 2023,Rp100,20.83%,"11,000,000 lot",1 : 1,AH - SHINHAN SEKURITAS INDONESIA,Teknologi,Perangkat Keras & Peralatan Teknologi,Distributor dan Instalasi Perangkat Global Positioning System (GPS) untuk Otomotif dan Logistik,https://www.foxlogger.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/IOTF/prospectus/wg59fngamd.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/IOTF/summary-prospectus/366oreulje.pdf,"Fox Logger Tower Jl. Cideng Barat nomor 31A, RT. 003/RW. 011, Kelurahan Cideng, Kecamatan Gambir, Jakarta Pusat 10150",https://storage.googleapis.com/assets.trading.stockbit.com/company/IOTF/logo/czblpzrtns.png,Pengembangan
KOCI,PT Kokoh Exa Nusantara Tbk,06 Oct 2023,Rp120,10.19%,"4,500,000 lot",1 : 1,PG - PANCA GLOBAL SEKURITAS,Properti & Real Estat,Properti & Real Estat,Konstruksi dan Real Estat,https://www.kokohcity.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/KOCI/prospectus/bmy31y8j56.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/KOCI/summary-prospectus/z3yku5r884.pdf,"Jl. Raya Sukolilo, Tebul, Kwanyar, Bangkalan - 69163",https://storage.googleapis.com/assets.trading.stockbit.com/company/KOCI/logo/7jazg1uc8i.png,Pengembangan
STRK,PT Lovina Beach Brewery Tbk,10 Oct 2023,Rp100,11.01%,"11,800,000 lot",100 : 275,SH - ARTHA SEKURITAS INDONESIA,Barang Konsumen Primer,Makanan & Minuman,Bergerak dalam bidang Industri Distribusi Minuman Beralkohol & Pengolahannya melalui Anak perusahaan,https://lovinabeachbrewery.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/STRK/prospectus/2w5wet8v43.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/STRK/summary-prospectus/tb9r4orvp8.pdf,"Jl. Tukad Banyu Poh 110 X, Sesetan Denpasar Selatan, 80223",https://storage.googleapis.com/assets.trading.stockbit.com/company/STRK/logo/wjrydfj7dv.png,Pengembangan
AEGS,PT Anugerah Spareparts Sejahtera Tbk,11 Sep 2023,Rp100,39.76%,"4,000,000 lot",4 : 1,AH - SHINHAN SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,"Industri Filter Kendaraan Bermotor yaitu Filter Oli dan Filter Bahan Bakar, serta Perdagangan Filter",https://www.aegisfilter.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/AEGS/prospectus/0hhfwd0z85.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/AEGS/summary-prospectus/9ym9fn104q.pdf,"Jalan Soekarno Hatta No. 134, Losari Kidul, Losari, Kab. Cirebon, Jawa Barat 45192",https://storage.googleapis.com/assets.trading.stockbit.com/company/AEGS/logo/y4yksq7c9s.png,Akselerasi
BABY,PT Multitrend Indo Tbk.,07 Sep 2023,Rp266,21.28%,"6,000,000 lot",0,AI - UOB KAY HIAN SEKURITAS,Barang Konsumen Non-Primer,Perdagangan Ritel,Perdagangan Eceran Pakaian dan Mainan Anak,https://kanmomultitrend.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/BABY/prospectus/7mhse4n0xt.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BABY/summary-prospectus/ncue0y78h0.pdf,"Gedung Menara Era Lt. 14-02 Jl. Senen Raya No. 135 – 137, Kel. Senen, Kec. Senen, Jakarta Pusat, Provinsi DKI Jakarta, 10410",https://storage.googleapis.com/assets.trading.stockbit.com/company/BABY/logo/pyil7sgk0t.png,Pengembangan
